,data,description,cluster
5485,key events,key events,0
5483,adequate resources,adequate resources,0
5468,fao,fao,0
5453,serous light mucoid nasal discharge,serous light mucoid nasal discharge,0
5497,roche ag,roche ag,0
5602,animal populations,taxon,0
5535,hubei province,hubei province,0
5542,noticeable sign,noticeable sign,0
5600,agencies,agencies,0
5595,containment measures,containment measures,0
5593,global efforts,global efforts,0
5589,greater monitoring,greater monitoring,0
5588,88 foreign governments,88 foreign governments,0
5586,food agriculture organization,food agriculture organization,0
5541,nasal discharge,nasal discharge,0
5585,international organizations,international organizations,0
5576,biohazardous threats emerging diseases graduate program,biohazardous threats emerging diseases graduate program,0
5572,best protection,best protection,0
5570,crossprotection,crossprotection,0
5561,noticeable signs,noticeable signs,0
5550,negative sense,negative sense,0
5549,segmented genome,scientific model natural environment,0
5577,georgetown university,georgetown university,0
5104,27 july,27 july,0
5103,late july,late july,0
5100,trip,trip,0
4703,extensive outbreaks,extensive outbreaks,0
4702,outbreaks areas,outbreaks areas,0
4699,retrospective analysis,retrospective analysis,0
4698,cultural revolution,cultural revolution,0
4697,reported data,reported data,0
4695,july–september,july–september,0
4704,lethality,lethality,0
4694,waves,waves,0
4687,13 july,13 july,0
4672,queen mary hospital,queen mary hospital,0
4655,24%,24%,0
4652,1987 boca acre study,1987 boca acre study,0
4651,macrophages,macrophages,0
4649,infiltration,infiltration,0
4689,population density,population density,0
4648,particular type,particular type,0
4713,mao tsetung,mao tsetung,0
4718,corpses,corpses,0
4772,key point,key point,0
4768,probably half dozen,probably half dozen,0
4767,spokeswoman,spokeswoman,0
4766,maria cheng,maria cheng,0
4764,united states centers,united states centers,0
4757,ontario,ontario,0
4716,berlin,berlin,0
4743,100 confirmed cases,100 confirmed cases,0
4734,smoldering pattern,smoldering pattern,0
4730,key role,key role,0
4728,maurice hilleman team,maurice hilleman team,0
4727,american microbiologist maurice hilleman,american microbiologist maurice hilleman,0
4721,garbage collectors,garbage collectors,0
4720,west germany,historical period germany historical country,0
4735,united states health authorities,united states health authorities,0
4774,difficulties,difficulties,0
4646,liver tissue,organ type,0
4638,hbv association,hbv association,0
4571,stop,stop,0
4570,cellular enzyme adenosine,cellular enzyme adenosine,0
4568,reading frame,reading frame,0
4563,nterminals,nterminals,0
4558,significant difference,significant difference,0
4555,iii,iii,0
4572,ugg,ugg,0
4551,hdv genome,scientific model natural environment,0
4547,hepatocyte,hepatocyte,0
4541,hdv receptor,hdv receptor,0
4537,nucleotide sequence,nucleotide sequence,0
4531,200 molecules,200 molecules,0
4530,ribonucleoprotein particle,ribonucleoprotein particle,0
4529,kinds,kinds,0
4549,nucleus,nucleus,0
4645,extensive destruction,extensive destruction,0
4579,later stages,later stages,0
4587,hbv surface proteins,group class chemical substances second-order class,0
4634,39 patients,39 patients,0
4632,boca acre,boca acre,0
4631,males,males,0
4624,anorexia,anorexia,0
4618,colombia,sovereign state republic secular state country,0
4615,acre,acre,0
4585,antigenic loop infectivity,antigenic loop infectivity,0
4614,amazon river,amazon river,0
4604,virion surface,virion surface,0
4602,antigenic loop,antigenic loop,0
4600,georges abou jaoudé,georges abou jaoudé,0
4599,cellular receptor,cellular receptor,0
4592,ribonucleoprotein,ribonucleoprotein,0
4589,genome main function,scientific model natural environment,0
4609,host cell,host cell,0
5725,pennsylvania,pennsylvania,0
4776,quantities,quantities,0
4786,efforts,efforts,0
5015,ismaillia,ismaillia,0
5014,oneyearold infants,oneyearold infants,0
5012,imidazopyridines,imidazopyridines,0
5006,antiinflammatories,antiinflammatories,0
5000,nonbenzodiazepines,nonbenzodiazepines,0
4998,pyrazolopyrimidines,pyrazolopyrimidines,0
5017,minnesota,minnesota,0
4997,gabaaagonizing imidazopyridines,gabaaagonizing imidazopyridines,0
4988,potentially useful activity,potentially useful activity,0
4980,secretary,secretary,0
4978,sufficient herd immunity,sufficient herd immunity,0
4972,production facilities,production facilities,0
4968,passage,passage,0
4963,probable lethality,probable lethality,0
4992,nitrogen,nitrogen,0
4960,greater lesser likelihood,greater lesser likelihood,0
5018,turkey farms,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
5022,pond,pond,0
5096,holidays,holidays,0
5091,midmarch,midmarch,0
5081,unusually mongrelised mix,unusually mongrelised mix,0
5068,230 soldiers,230 soldiers,0
5067,retrospective serologic testing,retrospective serologic testing,0
5063,13 soldiers,13 soldiers,0
5019,31%,31%,0
5040,size,size,0
5037,glycoside hydrolase enzyme,glycoside hydrolase enzyme,0
5036,infected cell,infected cell,0
5033,n,n,0
5026,local harbour seal population,local harbour seal population,0
5024,harbour seals,harbour seals,0
5023,increased mortality,increased mortality,0
5038,host cells,host cells,0
4784,technologies,technologies,0
4945,genetic properties,genetic properties,0
4939,haemagglutinin gene,haemagglutinin gene,0
4832,older victims,older victims,0
4823,largest number,largest number,0
4822,poultry handlers,organisms known particular common,0
4818,problem,problem,0
4816,unavoidable limitations,unavoidable limitations,0
4814,national governments,national governments,0
4833,milder attacks,milder attacks,0
4812,global extent,global extent,0
4808,fatality ratio,fatality ratio,0
4807,existing prepandemic global case fatality ratio,existing prepandemic global case fatality ratio,0
4802,little attention,little attention,0
4800,guangdong,province china,0
4797,mortality incidence,mortality incidence,0
4791,h5 surface proteins,group class chemical substances second-order class,0
4809,official tally,official tally,0
4941,humantype receptor,humantype receptor,0
4838,agefatality curve,agefatality curve,0
4848,n1 group,n1 group,0
4936,independent virulence factors,independent virulence factors,0
4935,intervention measures,intervention measures,0
4917,adaptations,adaptations,0
4900,organizations,organizations,0
4892,over50% case fatality ratio,over50% case fatality ratio,0
4891,lethal waves,lethal waves,0
4842,mortality curve,mortality curve,0
4883,certain genetic similarities,certain genetic similarities,0
4878,advance,advance,0
4875,unrelated maladies survival chances,unrelated maladies survival chances,0
4870,poorer chances,poorer chances,0
4865,significant familial pattern,significant familial pattern,0
4854,flumist inoculation,brand,0
4851,inoculation,inoculation,0
4880,prepandemic case fatality ratio,prepandemic case fatality ratio,0
5727,affected flock,affected flock,0
5731,routine testing,routine testing,0
5738,15 states,15 states,0
6500,processes,processes,0
6499,type undergoes antigenic shift,type undergoes antigenic shift,0
6497,host cell receptors,host cell receptors,0
6496,enzyme neuraminidase,group class enzymes,0
6493,hemagglutininesterase fusion,hemagglutininesterase fusion,0
6491,transcription,transcription,0
6513,animal reservoir,taxon,0
6487,antigens,antigens,0
6480,prior exposure,prior exposure,0
6475,infectious agent,infectious agent,0
6471,rhinorrhea,rhinorrhea,0
6460,animal reservoirs,taxon,0
6454,greater level,greater level,0
6451,divergence,divergence,0
6484,structure variation,structure variation,0
6446,antigenic types,antigenic types,0
6529,estimated occurrence,estimated occurrence,0
6537,normal lung temperature,normal lung temperature,0
6593,comets,comets,0
6586,agency,agency,0
6584,affiliations,affiliations,0
6582,mid2008,mid2008,0
6581,international nihfunded searchable online database,international nihfunded searchable online database,0
6580,genbank,sequence database data library,0
6530,1.3%,1.3%,0
6579,sequence data,sequence data,0
6564,steven salzberg,steven salzberg,0
6563,david lipman,david lipman,0
6553,william b. epperson,william b. epperson,0
6551,alicia k. olivier,alicia k. olivier,0
6549,challenge experiments,challenge experiments,0
6548,partial protection,partial protection,0
6574,elodie ghedin,elodie ghedin,0
6594,earthquakes,earthquakes,0
6439,linear negativesense,linear negativesense,0
6436,500 surface projections,500 surface projections,0
6357,peruvian bat,peruvian bat,0
6355,h17n10,h17n10,0
6354,11 different known n antigens,11 different known n antigens,0
6353,18 different known h antigens,18 different known h antigens,0
6350,negativesense,negativesense,0
6346,better characterization studies,better characterization studies,0
6363,toll,toll,0
6342,continuous evolution,continuous evolution,0
6339,computational molecular analysis,computational molecular analysis,0
6338,tong y,tong y,0
6325,h9 antigenic sites,h9 antigenic sites,0
6320,antigenicity,antigenicity,0
6312,air droplet,air droplet,0
6308,a/quail/hong kong/g1/97like,a/quail/hong kong/g1/97like,0
6340,phylogenetic characterization,phylogenetic characterization,0
6437,genome structure,scientific model natural environment,0
6366,structure genetics,structure genetics,0
6375,micrometers,micrometers,0
6421,subtype list,subtype list,0
6414,essential gene,essential gene,0
6410,radiation,radiation,0
6409,uv radiation,uv radiation,0
6408,inactivation,inactivation,0
6406,gene product,gene product,0
6368,80–120 nanometers,80–120 nanometers,0
6404,segmented pieces,segmented pieces,0
6390,progeny virions,progeny virions,0
6388,target cell,target cell,0
6384,central core,central core,0
6382,virions,virions,0
6380,electron microscopy,electron microscopy,0
6376,filamentous virions,filamentous virions,0
6398,organisms,organisms,0
6307,a/chicken/beijing/1/94like,a/chicken/beijing/1/94like,0
6597,setting,setting,0
6604,different type,different type,0
6807,policies,policies,0
6802,emerging pandemic.each state,emerging pandemic.each state,0
6792,federal government,federal government,0
6790,actions,actions,0
6789,responsibilities,responsibilities,0
6775,alum,structural class chemical compounds,0
6816,growing concern,growing concern,0
6770,acceptable level,acceptable level,0
6761,lessdeveloped countries,lessdeveloped countries,0
6758,assurances,assurances,0
6751,welldeveloped plans,welldeveloped plans,0
6749,best scenario situation,best scenario situation,0
6747,19 countries,19 countries,0
6742,commonly sought drug,commonly sought drug,0
6766,large multicentre trial,large multicentre trial,0
6739,adamantanes,adamantanes,0
6817,hazards,hazards,0
6821,malaysian population,malaysian population,0
6883,flumist,brand,0
6869,poultry farming protection funds,organisms known particular common,0
6866,dollars,dollars,0
6861,domestic birds,domestic birds,0
6859,domestic flock,domestic flock,0
6857,domesticated poultry,organisms known particular common,0
6820,place processes,place processes,0
6850,kobasa et al,kobasa et al,0
6844,genetic mechanisms,genetic mechanisms,0
6836,federal government goal,federal government goal,0
6832,$1 billion drug manufacturers,$1 billion drug manufacturers,0
6831,fiveyear contracts,fiveyear contracts,0
6828,therapies,therapies,0
6823,molecular virology,molecular virology,0
6848,genetic sequence,genetic sequence,0
6598,sun,sun,0
6737,national surveys,national surveys,0
6727,following shortterm strategies,following shortterm strategies,0
6659,horrific disconnect,horrific disconnect,0
6658,ignorance,ignorance,0
6649,hospital rooms,hospital rooms,0
6628,practice,practice,0
6625,mild illness,mild illness,0
6622,soldiers,soldiers,0
6660,reassurances,reassurances,0
6621,wwi practice,wwi practice,0
6617,detergents,detergents,0
6615,human body temperature,organisms known particular common homo sapiens homo sapiens sapiens homo,0
6611,feces,biogenic substance type,0
6609,droppings,droppings,0
6608,sneezes,sneezes,0
6605,unrelated gastroenteritis,unrelated gastroenteritis,0
6618,appearance,appearance,0
6732,attitudes,attitudes,0
6662,credibility,credibility,0
6665,u.s. army camp,u.s. army camp,0
6725,animal problem,taxon,0
6724,foreign relations panel,foreign relations panel,0
6723,section,section,0
6713,capacity development,capacity development,0
6710,grouping,grouping,0
6708,existing national preparedness,existing national preparedness,0
6664,trust.a letter,trust.a letter,0
6704,sixphase approach,sixphase approach,0
6702,2009 revision,2009 revision,0
6696,seven ill patients,seven ill patients,0
6694,24 april,24 april,0
6692,unknown causation,unknown causation,0
6680,variable mortality,variable mortality,0
6677,wave nature,wave nature,0
6703,phase descriptions,phase descriptions,0
4528,host phospholipids,host phospholipids,0
6303,extensive gene reassortment,extensive gene reassortment,0
6300,crucial role,crucial role,0
5948,h7 subtype,h7 subtype,0
5947,h7n9 identifies,taxon,0
5938,poultry production,organisms known particular common,0
5916,h7n4,h7n4,0
5910,h7n3,h7n3,0
5903,japan ground selfdefense force,sovereign state island nation country,0
5949,n9 subtype,n9 subtype,0
5898,regional official,regional official,0
5894,state animal husbandry officials,taxon,0
5888,kerala officials,state india start time 1 november 1956,0
5880,16 places,16 places,0
5876,official confirmed reports,official confirmed reports,0
5866,alquaiyat,alquaiyat,0
5863,riyadh,riyadh,0
5897,genetic test,genetic test,0
5862,poultry market,organisms known particular common,0
5950,group,group,0
5956,genetic characterisation,genetic characterisation,0
6025,april 30 report,april 30 report,0
6024,veterinary services,veterinary services,0
6023,overall level,overall level,0
6021,live bird markets,taxon,0
6020,contaminated environment,contaminated environment,0
6018,hypothesis,hypothesis,0
5952,subgroup,subgroup,0
6005,live poultry markets,organisms known particular common,0
5991,genetic modification work,genetic modification work,0
5983,lot,lot,0
5980,thing,thing,0
5977,genetic makeup,genetic makeup,0
5967,migration,migration,0
5961,origins,origins,0
6003,chinese scientists,chinese scientists,0
6026,assessment,assessment,0
5859,south african poultry association,organisms known particular common,0
5856,standerton,standerton,0
5777,1 840 2 497 birds,1 840 2 497 birds,0
5774,pampanga,pampanga,0
5770,highest level,highest level,0
5768,bird droppings,taxon,0
5763,central northern southern parts,central northern southern parts,0
5762,locations,locations,0
5780,7 mile zone,7 mile zone,0
5759,moca,moca,0
5756,2 hens,2 hens,0
5745,abbottsford,abbottsford,0
5744,commercial turkey farm,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
5743,montana,montana,0
5742,fergus county,fergus county,0
5741,duck,duck,0
5757,visible sign,visible sign,0
5857,mpumalanga,mpumalanga,0
5781,poultry movement,organisms known particular common,0
5787,75 percent,75 percent,0
5850,major poultry producers,organisms known particular common,0
5845,poultry flocks,organisms known particular common,0
5844,restrictions,restrictions,0
5842,striking domestic birds,striking domestic birds,0
5840,slovenia,slovenia,0
5832,turkey farm,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
5785,dead animals,dead animals,0
5827,rural,rural,0
5815,seven additional european countries,seven additional european countries,0
5803,lab,lab,0
5801,28 020 chickens,chicken gallus gallus domesticus common,0
5798,nervousness,nervousness,0
5796,farms,farms,0
5792,conserved amino acids,conserved amino acids,0
5823,louth,louth,0
6302,wide host range,wide host range,0
6027,poultry vaccination,organisms known particular common,0
6031,chinese authorities,chinese authorities,0
6219,52yearold woman,52yearold woman,0
6211,wuxi,wuxi,0
6210,suzhou,suzhou,0
6203,travel,travel,0
6200,minds,minds,0
6196,intense relevancy,intense relevancy,0
6221,huzhou,prefecture-level city big city city millions inhabitants,0
6195,internet surveys,internet surveys,0
6188,hangzhou,hangzhou,0
6187,38%,38%,0
6181,university,university,0
6170,chinese veterinary technicians,chinese veterinary technicians,0
6166,vaccination ofpoultryagainsttheh5n1avianinfluenzavirusoverthelastdecademighthavemadetheh5n1avianinfluenzavirusharderforchineseveterinarytechnicianstospottherecentspreadoftheh7n9viruschina sagricultureministrydefendedchina sagricultureministrypolicyoflargescalevaccinationof poultry,organisms known particular common,0
6164,gisaid sharing mechanism,gisaid sharing mechanism,0
6190,nanjing,nanjing,0
6163,spirit,spirit,0
6226,7.on april,7.on april,0
6239,sevenyearold girl,sevenyearold girl,0
6299,gene donor,gene donor,0
6295,chinese chickens,chicken gallus gallus domesticus common,0
6294,common subtype,common subtype,0
6288,songjiang district,songjiang district,0
6282,unprotected exposure,unprotected exposure,0
6277,genome sequence,scientific model natural environment,0
6231,25yearold pregnant woman,25yearold pregnant woman,0
6276,may. 60yearold man daughter,may. 60yearold man daughter,0
6271,british medical journal,british medical journal,0
6261,yoshihiro kawaoka,yoshihiro kawaoka,0
6255,cumulative total,cumulative total,0
6245,31yearold thoracic surgeon,31yearold thoracic surgeon,0
6243,central henan,central henan,0
6242,xinhua chinese state media,xinhua chinese state media,0
6275,may. 60yearold man,may. 60yearold man,0
6028,control option,control option,0
6160,chinese team,chinese team,0
6151,credit,credit,0
6104,zhejiang university,zhejiang university,0
6093,great difficulty,great difficulty,0
6089,complexes,complexes,0
6083,lifetime exposure,lifetime exposure,0
6082,older chinese men,older chinese men,0
6081,british columbia centre,british columbia centre,0
6105,hong kong university,hong kong university,0
6076,greater exposure,greater exposure,0
6073,poultry exposure,organisms known particular common,0
6072,yuzo arima colleagues,yuzo arima colleagues,0
6070,3.6:1.dr,3.6:1.dr,0
6069,female ratio,female ratio,0
6065,male,male,0
6061,older males,older males,0
6074,common risk factor,common risk factor,0
6153,china early openness,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",0
6106,chinese center,chinese center,0
6110,chinese academy,chinese academy,0
6146,novartis,business multinational corporation,0
6145,inc.,inc.,0
6141,china cdc,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",0
6137,shanghai,city direct-controlled municipality national central city big city city millions inhabitants,0
6135,adjuvants,adjuvants,0
6126,routine procedure,routine procedure,0
6109,food drug control,food drug control,0
6125,randomized observerblinded placebocontrolled clinical trial,randomized observerblinded placebocontrolled clinical trial,0
6120,insect cells,insect cells,0
6118,manufacture,manufacture,0
6117,novavax,novavax,0
6116,april 3.on,april 3.on,0
6114,throat swab,throat swab,0
6112,chinese national influenza center director shu yuelong,infectious disease,0
6123,a/indonesia/5/05,a/indonesia/5/05,0
4524,structure genome,scientific model natural environment,0
4521,hdvspecific cd8+ t cells,hdvspecific cd8+ t cells,0
4519,exception,exception,0
3005,unpublished phase iii trials,unpublished phase iii trials,0
3003,accelerated clearance,accelerated clearance,0
3000,fda phase ii phase iii clinical trials,fda phase ii phase iii clinical trials,0
2998,medivector inc.,medivector inc.,0
2997,partnership,partnership,0
2987,actions actions,actions actions,0
3010,animal experiments,taxon,0
2981,generic drug,generic drug,0
2964,eicar,eicar,0
2960,experimental drug,experimental drug,0
2959,deleobuvir,chemical compound,0
2951,tablets,tablets,0
2950,administration storage,administration storage,0
2946,u.s. fda,u.s. fda,0
2966,nucleoside derivative,nucleoside derivative,0
2940,dasabuvir works,scholarly article,0
3012,labor,labor,0
3014,production condition,production condition,0
3050,hamsters,hamsters,0
3049,encephalitis,encephalitis,0
3046,aspects,aspects,0
3041,saliva,mixture body fluids,0
3037,philippines,philippines,0
3036,slaughterhouses,slaughterhouses,0
3013,welfare,welfare,0
3035,malaysiasingapore,malaysiasingapore,0
3026,retroviruses,retroviruses,0
3025,conference,conference,0
3023,guinea,guinea,0
3022,guéckédou,guéckédou,0
3018,conclusions,conclusions,0
3015,emergency,emergency,0
3030,trial design,trial design,0
3051,lethal dose,lethal dose,0
2939,greater times upper limit,greater times upper limit,0
2933,insomnia,insomnia,0
2878,oral dose,oral dose,0
2877,distribution,distribution,0
2872,pgp substrate,pgp substrate,0
2867,administration,administration,0
2866,peak dose,peak dose,0
2865,oncedaily 60 mg oral administration,oncedaily 60 mg oral administration,0
2881,100 μg,100 μg,0
2864,4 days,4 days,0
2852,specificity,specificity,0
2848,huh7 cells,cell line cancer cell line,0
2847,gt1b replicon,gt1b replicon,0
2835,required dosage adjustments,required dosage adjustments,0
2833,antifungals,antifungals,0
2831,nonnucleoside reverse transcriptase inhibitors,nonnucleoside reverse transcriptase inhibitors,0
2855,pegylated interferon,group class proteins,0
2935,increases,increases,0
2882,economics,economics,0
2884,different prices,different prices,0
2929,1a,1a,0
2922,unknown subtype,unknown subtype,0
2921,genotype,genotype,0
2920,genotype 1a,genotype 1a,0
2916,food drug administration,food drug administration,0
2913,ethinylestradiol,ethinylestradiol,0
2883,sale,sale,0
2911,harm,harm,0
2908,trouble,trouble,0
2903,ascletis,ascletis,0
2893,fluoroisoindole tertbutyl carbamate moieties,fluoroisoindole tertbutyl carbamate moieties,0
2890,danoprevir,chemical compound,0
2887,generics manufacturers,generics manufacturers,0
2886,economic development,economic development,0
2909,liver failure,organ type,0
2827,daclatasvir levels,scholarly article review article,0
3056,14 days,14 days,0
3067,rabies,infectious disease switzerland disease,0
3314,germany,historical period germany historical country,0
3309,openness,openness,0
3294,genetic level,genetic level,0
3290,jakarta,city capital province indonesia big city city millions inhabitants human settlement,0
3289,greater frequency,greater frequency,0
3285,extensive experience,extensive experience,0
3328,foxes,foxes,0
3283,institutes,institutes,0
3273,severely affected country,severely affected country,0
3264,2 april,2 april,0
3259,official confirmation,official confirmation,0
3251,nearly 1.2 million poultry,organisms known particular common,0
3237,arenaviruses,arenaviruses,0
3230,niaid,niaid,0
3282,team members,team members,0
3225,adenosine analog,adenosine analog,0
3329,seals,seals,0
3335,subsequent seroconversion,subsequent seroconversion,0
3392,central hunan province,central hunan province,0
3391,22yearold man,22yearold man,0
3388,myanmar,sovereign state country,0
3381,wild migratory bird populations,taxon,0
3380,asian countries,asian countries,0
3376,romania,sovereign state start time 10 1877julian country,0
3331,dr. osterhaus,dr. osterhaus,0
3372,newly appointed senior united nations coordinator,newly appointed senior united nations coordinator,0
3364,2005,2005,0
3360,point,point,0
3347,z genotype,z genotype,0
3346,evolution,evolution,0
3342,numerous farms,numerous farms,0
3336,calf,calf,0
3367,qinghai lake,qinghai lake,0
3059,lethal niv challenge,lethal niv challenge,0
3220,aggressive antibiotic therapy,aggressive antibiotic therapy,0
3216,variety,variety,0
3134,measured resistance,measured resistance,0
3122,different times,different times,0
3114,tropics,tropics,0
3112,southern hemisphere winters,southern hemisphere winters,0
3109,south latitudes,south latitudes,0
3108,tropical climate,tropical climate,0
3146,earnings,earnings,0
3106,brazil,brazil,0
3094,influenzavirus,influenzavirus,0
3092,location,location,0
3088,cold half,cold half,0
3085,strategic reasons,strategic reasons,0
3080,genotype 1 polymerases,genotype 1 polymerases,0
3075,noncatalytic thumb ii allosteric pocket,noncatalytic thumb ii allosteric pocket,0
3104,southern hemisphere countries,southern hemisphere countries,0
3218,viral bacterial fungal protozoa disorders,viral bacterial fungal protozoa disorders,0
3158,274 304 hospitalizations,274 304 hospitalizations,0
3161,notable occurrences,notable occurrences,0
3214,cancer suspect,constellation zodiacal constellation,0
3213,cancer doctor,constellation zodiacal constellation,0
3205,lung cancer patients,constellation zodiacal constellation,0
3200,radiation therapy,radiation therapy,0
3199,cancer patients,constellation zodiacal constellation,0
3197,cancer,constellation zodiacal constellation,0
3160,ph1n1,ph1n1,0
3184,common cold,common cold,0
3179,environment,environment,0
3177,wide range,wide range,0
3176,diabetics,diabetics,0
3173,extensive text,extensive text,0
3170,weekly updates,weekly updates,0
3165,influenzalike illness,influenzalike illness,0
3180,bacteria,taxon,0
3396,25yearold female,25yearold female,0
2821,decreased therapeutic effect,decreased therapeutic effect,0
2819,strong inducers,strong inducers,0
2481,2006 state,2006 state,0
2477,final conclusion,final conclusion,0
2467,modafinil,chemical compound medication,0
2462,m2 resistance testing,m2 resistance testing,0
2455,cdc cdc,cdc cdc,0
2453,neuraminidase inhibitors,group class enzymes,0
2483,subjective fatigue,symptom,0
2452,cdc guidelines,cdc guidelines,0
2439,barrel,barrel,0
2437,function,function,0
2435,protein synthesis,protein synthesis,0
2418,nmdatype glutamate receptor,structural class chemical compounds,0
2415,mechanism,mechanism,0
2413,u.s. national library,u.s. national library,0
2441,pore function,pore function,0
2407,oseltamivir resistance,chemical compound neuraminidase inhibitor medication essential medicine,0
2484,problem solving,problem solving,0
2488,msrelated fatigue,symptom,0
2551,cardiovascular,cardiovascular,0
2544,depression,depression,0
2537,light headedness,light headedness,0
2530,longterm outcomes,longterm outcomes,0
2527,direct dopamine stimulation,chemical compound medication neurotransmitter,0
2525,functional gains,functional gains,0
2485,memory,memory,0
2516,capacity,capacity,0
2513,neuroplasticity overall functional recovery patients brain injury,neuroplasticity overall functional recovery patients brain injury,0
2503,injury,injury,0
2500,traumatic brain injury patients,traumatic brain injury patients,0
2496,mcs,mcs,0
2494,minimally conscious state,minimally conscious state,0
2489,awareness patients disorders consciousness,awareness patients disorders consciousness,0
2515,neuroplasticity,neuroplasticity,0
2553,syncope,syncope,0
2406,increasing incidence,increasing incidence,0
2401,choice,choice,0
2348,chemical structure,chemical structure,0
2346,arousal,arousal,0
2340,levodopainduced dyskinesia,levodopainduced dyskinesia,0
2338,fda,fda,0
2337,amantadine resistance,chemical compound medication,0
2332,prophylaxis,prophylaxis,0
