,data,description,cluster
8965,lactone intermediate b,lactone intermediate b,0
8423,resistant virus,resistant virus,0
4629,fulminant hepatitis,fulminant hepatitis,0
8975,intermediate b,intermediate b,0
8977,intermediate c dropwise,intermediate c dropwise,0
8408,category b,category b,0
4220,virus core protein,virus core protein,0
6367,virus particle,virus particle,0
3021,ebola virus disease,infectious disease,0
7519,growing virus,growing virus,0
2977,respiratory syncytial virus,respiratory syncytial virus,0
2926,chronic hepatitis c virus genotype,chronic hepatitis c virus genotype,0
8290,subcategory negativesense ssrna virus,subcategory negativesense ssrna virus,0
4738,human mortality,organisms known particular common homo sapiens homo sapiens sapiens homo,0
1981,h3n2 virus,subtype,0
7026,vitamin c,vitamin c,0
5291,h3n2 virus isolates,subtype,0
4842,mortality curve,mortality curve,0
9812,efficacy rate,efficacy rate,0
4028,hepatitis crelated diseases,hepatitis crelated diseases,0
9796,hepatitis c treatments,hepatitis c treatments,0
8117,chronic hepatitis c.,chronic hepatitis c.,0
5933,h7n9 virus,taxon,0
10611,|mortality rate,|mortality rate,0
8114,genotype 1 virus,genotype 1 virus,0
4876,predicting pandemic mortality rate,predicting pandemic mortality rate,0
5270,influenza b,infectious disease,0
1286,deadly virus,deadly virus,0
4877,actual rate,actual rate,0
5946,virus designation,virus designation,0
4003,slower rate,slower rate,0
9775,antihepatitis c treatments,antihepatitis c treatments,0
4889,overall fatality rate,overall fatality rate,0
10632,case rate,case rate,0
3994,hepatitis,hepatitis,0
9315,hepatitis ribavirin,chemical compound medication essential medicine 1 april 1990,0
1312,pandemic h1n1/09 virus,pandemic h1n1/09 virus,0
9326,herpes simplex virus,herpes simplex virus,0
4910,assumed contraction rate,assumed contraction rate,0
4827,higher case fatality rate,higher case fatality rate,0
8184,dengue virus,dengue virus,0
6259,human human transfer virus,organisms known particular common homo sapiens homo sapiens sapiens homoorganisms known particular common homo sapiens homo sapiens sapiens homo,0
8186,yellow fever virus,yellow fever virus,0
5365,h3n8 virus,h3n8 virus,0
4740,casefatality rate,casefatality rate,0
9105,mouse hepatitis virus rna replicase,structural class chemical compounds,0
9109,ebola virus,infectious disease,0
4758,true casefatality rate,true casefatality rate,0
10492,half mortality rate,half mortality rate,0
4114,world hepatitis day,world hepatitis day,0
5338,virus vaccines,virus vaccines,0
5335,influenza virus vaccines,infectious disease,0
8247,progeny virus,progeny virus,0
3235,rna virus families,structural class chemical compounds,0
4094,virus presence,virus presence,0
8289,category rna virus,structural class chemical compounds,0
4082,posttransfusion hepatitis cases,posttransfusion hepatitis cases,0
8211,hepatitis c. odalasvir,chemical compound,0
6680,variable mortality,variable mortality,0
10539,transmission rate,transmission rate,0
4805,zero mortality rate,zero mortality rate,0
4806,33% mortality rate,33% mortality rate,0
5306,epidemic virus,epidemic virus,0
5305,vaccine virus,vaccine virus,0
8198,hepatitis c virus polyprotein,hepatitis c virus polyprotein,0
9839,higher cure rate,higher cure rate,0
8189,omsk hemorrhagic fever virus,omsk hemorrhagic fever virus,0
8188,kyasanur forest disease virus,kyasanur forest disease virus,0
8187,powassan virus,powassan virus,0
5319,low death rate,stock character psychopomp literary character,0
10019,higherthanexpected mortality rate,higherthanexpected mortality rate,0
8906,marburg virus infections,location identifier q28791882 masculine plural 8 november 1919gregorian,0
2918,chronic hepatitis c infection,chronic hepatitis c infection,0
805,virus strains,virus strains,0
6489,virus assembly,virus assembly,0
4404,increased rate,increased rate,0
8663,melanoma hepatitis c,rare disease,0
4396,vertical transmission rate,vertical transmission rate,0
4393,hepatitis c virus infection,hepatitis c virus infection,0
8658,hepatitis e.,hepatitis e.,0
6535,virus ability,virus ability,0
8656,genotype 1 hepatitis c virus,genotype 1 hepatitis c virus,0
4494,hepatitis b antigen,group class chemical substances,0
8650,genotype 1 hepatitis c patients,genotype 1 hepatitis c patients,0
10194,high mortality,high mortality,0
6538,type c virus,type c virus,0
8645,1 hepatitis c,1 hepatitis c,0
10203,respiratory virus,respiratory virus,0
6541,d virus,d virus,0
8633,hepatitis c hepatitis c,hepatitis c hepatitis c,0
6542,slower mutation rate,slower mutation rate,0
6467,influenza virus c,infectious disease,0
6543,c d growth requirements,c d growth requirements,0
4371,previous hepatitis c treatment,previous hepatitis c treatment,0
2738,chronic hepatitis d,chronic hepatitis d,0
6546,influenza viruses c,infectious disease,0
926,virus cultures,virus cultures,0
6462,ad.this virus,ad.this virus,0
6532,humans.influenza d virus,humans.influenza d virus,0
8765,animal virus,taxon,0
6531,b virus,b virus,0
819,patterns mortality,patterns mortality,0
6512,type c,type c,0
4449,known hepatitis viruses,known hepatitis viruses,0
4452,chronic hepatitis b,chronic hepatitis b,0
4453,hepatitis b carrier state,hepatitis b carrier state,0
4456,hepatitis b. infection,hepatitis b. infection,0
5548,rna virus,structural class chemical compounds,0
4457,hepatitis b infection,hepatitis b infection,0
4445,hepatitis delta virus,hepatitis delta virus,0
4444,viral hepatitis,viral hepatitis,0
842,case fatality rate,case fatality rate,0
840,mortality estimates,mortality estimates,0
7315,patient mortality,patient mortality,0
10219,precursor virus,precursor virus,0
4464,hepatitis b protects,hepatitis b protects,0
8745,orphan virus,orphan virus,0
2622,hepatitis c. asunaprevir,chemical compound carbocyclic compound heterocyclic compound,0
6502,virus isolation,virus isolation,0
4465,hepatitis d virus,hepatitis d virus,0
6501,influenza virus c growth requirements,infectious disease,0
8702,cytochrome c,cytochrome c,0
5562,high mutation rate,high mutation rate,0
2626,hepatitis c virus,hepatitis c virus,0
2629,influenza b flu,infectious diseaseinfluenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,0
6525,virus genus deltainfluenzavirus,virus genus deltainfluenzavirus,0
4468,delta virus,delta virus,0
8695,mitochondrial cytochrome c release,mitochondrial cytochrome c release,0
4431,hepatitis research,hepatitis research,0
2743,hepatitis delta,hepatitis delta,0
2744,hepatitis b viruses,hepatitis b viruses,0
4364,chronic hepatitis,chronic hepatitis,0
4532,hepatitis d antigen,group class chemical substances,0
4327,hepatitis c testing,hepatitis c testing,0
2813,hepatitis b,hepatitis b,0
2814,hepatitis b c viruses,hepatitis b c viruses,0
2816,hepatitis c,hepatitis c,0
2817,hepatitis b reactivation,hepatitis b reactivation,0
8557,inactivated virus,inactivated virus,0
10057,gender mortality gap,gender mortality gap,0
2430,intracellular virus,intracellular virus,0
10282,combined mortality rate,combined mortality rate,0
6430,influenza b virus capsid,infectious diseasecellular component,0
8548,h1n1 influenza,virusinfectious disease,0
2805,virus genotype,virus genotype,0
4543,large hepatitis b surface antigen,group class chemical substances,0
6427,influenza b virus,infectious disease,0
5664,h5n1 virus genome,subtypescientific model natural environment,0
969,morbidity rate,morbidity rate,0
2843,heart rate,heart rate,0
2849,bovine viral diarrhea virus,bovine viral diarrhea virus,0
2405,influenza virus particles,infectious disease,0
8879,97% clearup rate,97% clearup rate,0
990,estimated influenza mortality rate,infectious disease,0
996,h5n1 virus,subtype,0
4285,hepatitis c transmission,hepatitis c transmission,0
6402,virus genome,scientific model natural environment,0
4268,highest rate,highest rate,0
7243,virus prevalence,virus prevalence,0
4911,severity rate,severity rate,0
2448,influenza b infections,infectious disease,0
2801,hepatitis c genotype,hepatitis c genotype,0
4513,substitution rate,substitution rate,0
6459,viruses b,viruses b,0
4515,overall evolution rate,overall evolution rate,0
6457,482 ad.influenza virus,482 ad.influenza virus,0
2756,hepatitis b virus,hepatitis b virus,0
2757,hepatitis b virus surface,hepatitis b virus surface,0
6453,d,d,0
6452,types c,types c,0
735,peak mortality,peak mortality,0
2758,myrcludex b,myrcludex b,0
2760,hepatitis d,hepatitis d,0
6449,influenza d virus,infectious disease,0
10064,tuberculosis mortality rate,notifiable disease valid place switzerland endemic disease,0
2761,hepatitis b virus infection,hepatitis b virus infection,0
4517,mutation rate,mutation rate,0
6447,c virus,c virus,0
5628,virus isolate,virus isolate,0
2777,cathepsin b,cathepsin b,0
10248,low flu mortality rate,influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,0
2459,continued high rate,continued high rate,0
4523,hepadnaviridae virus,hepadnaviridae virus,0
2790,virus type,virus type,0
6443,influenza c virus,infectious disease,0
5636,avian influenza virus,infectious disease,0
8829,virus types,virus types,0
10065,death rate,stock character psychopomp literary character,0
2763,hepatitis c. ciluprevir,chemical compound,0
8066,recently zika virus,recently zika virus,0
856,lower mortality rate,lower mortality rate,0
3925,hepatitis c. prevention,hepatitis c. prevention,0
9635,4 chronic hepatitis c,4 chronic hepatitis c,0
3947,small enveloped singlestranded positivesense rna virus,structural class chemical compounds,0
3952,virus particles,virus particles,0
9631,hepatitis c virus protease inhibitor,hepatitis c virus protease inhibitor,0
3956,1012 virus particles,1012 virus particles,0
7806,epsteinbarr virus,epsteinbarr virus,0
1654,h1n1 virus,virus,0
10689,newly mutated virus,newly mutated virus,0
4953,virus replication,virus replication,0
7979,inactivated virus vaccines,inactivated virus vaccines,0
7803,2 virus,2 virus,0
10771,b viruses,b viruses,0
6746,potential virus,potential virus,0
1660,h1n1 influenza virus,virusinfectious disease,0
4952,total rate,total rate,0
1663,symptoms.the h1n1 virus,virus,0
7812,vaccinia virus,infectious disease,0
5197,1957 h2n2 virus,wikimedia disambiguation page,0
4948,avianadapted h5n1 influenza virus,subtypeinfectious disease,0
6050,...an unusually dangerous virus,...an unusually dangerous virus,0
6168,h5n1 avian influenza virus,subtypeinfectious disease,0
5233,human h2n2 virus,organisms known particular common homo sapiens homo sapiens sapiens homowikimedia disambiguation page,0
7977,living virus,living virus,0
3862,relatively high mutation rate,relatively high mutation rate,0
10811,influenza virus replication,infectious disease,0
10810,influenza virus host cell,infectious disease,0
5217,triple reassortant h2n3 virus,triple reassortant h2n3 virus,0
10783,vitro effectivenessatpreventingentryofzaireebolavirustacaribearenavirusandkaposi ssarcomaassociatedherpesvirusinmammaliancellcultureswhileconfirmingumifenovir ssuppressiveeffectinvitroon hepatitis b,vitro effectivenessatpreventingentryofzaireebolavirustacaribearenavirusandkaposi ssarcomaassociatedherpesvirusinmammaliancellcultureswhileconfirmingumifenovir ssuppressiveeffectinvitroon hepatitis b,0
5167,19 influenza h1n2 virus isolates,infectious diseasesubtype,0
3931,cure rate,cure rate,0
10790,macrocyclic hepatitis c virus,macrocyclic hepatitis c virus,0
5055,virus samples,virus samples,0
5069,novel virus,novel virus,0
6056,reported mortality rate,reported mortality rate,0
7922,hepatitis c genotypes,hepatitis c genotypes,0
3585,virus subtype,virus subtype,0
6158,novel h7n9 virus,taxon,0
10778,hepatitis c.more recent studies,hepatitis c.more recent studies,0
3876,virus encodes,virus encodes,0
10707,53% fatality rate,53% fatality rate,0
9497,virus m2 protein,virus m2 protein,0
3724,influenza virus vaccine,infectious disease,0
1766,new virus,new virus,0
1466,pandemic h1n1 virus,virus,0
4981,pandemic mortality,pandemic mortality,0
71,fatality rate,fatality rate,0
1469,pandemic virus,pandemic virus,0
9394,dna virus,dna virus,0
5223,avian virus,avian virus,0
6818,nipah virus outbreak,nipah virus outbreak,0
6128,candidate virus,candidate virus,0
9656,hepatitis c. simeprevir,chemical compound medication essential medicine,0
9614,chronic hepatic c infection,chronic hepatic c infection,0
3659,inactivated h5n1 virus,subtype,0
3840,h5n1 influenza virus,subtypeinfectious disease,0
7840,virus growth,virus growth,0
1416,specifically 2009 h1n1 virus,virus,0
1398,high rate,high rate,0
3976,chronic hepatitis c,chronic hepatitis c,0
5982,h5 virus,h5 virus,0
5023,increased mortality,increased mortality,0
5193,overall mortality rate,overall mortality rate,0
3784,influenzavirus c,influenzavirus c,0
9598,egggrown vaccine virus,egggrown vaccine virus,0
3788,virusa virus,virusa virus,0
7845,heatinactivated influenza virus,infectious disease,0
223,virus,virus,0
28,mortality rate,mortality rate,0
5185,h2n2 virus,wikimedia disambiguation page,0
6044,unusually high rate,unusually high rate,0
5985,human virus,organisms known particular common homo sapiens homo sapiens sapiens homo,0
7825,virus e3l gene,virus e3l gene,0
6127,new transgenic virus,new transgenic virus,0
3783,influenzavirus b,influenzavirus b,0
9606,previous hepatitis b infection,previous hepatitis b infection,0
8036,flumist core virus,brand,0
5128,g4 virus,g4 virus,0
7841,heatinactivated virus,heatinactivated virus,0
2393,vaccine administration,vaccine administration,1
2295,prevalent strains,prevalent strains,1
4626,neurological symptoms,neurological symptoms,1
7230,genetic determinants,genetic determinants,1
8881,new combinations,new combinations,1
2400,amantadineresistant strains,amantadineresistant strains,1
2390,viral replication,viral replication,1
7171,older people,older people,1
2389,live attenuated vaccines,live attenuated vaccines,1
1649,severe outcome,severe outcome,1
7225,future pandemic,future pandemic,1
2386,anticholinergic effects,anticholinergic effects,1
1679,genetic code,genetic code,1
2385,end stage renal disease,end stage renal disease,1
2392,administered vaccines,administered vaccines,1
8874,phase ii clinical trials,phase ii clinical trials,1
8942,cytochrome p450 inducers,cytochrome p450 inducers,1
6864,low pathogenic strain,low pathogenic strain,1
9511,solid state nmr studies,solid state nmr studies,1
2431,newly formed viral proteins,group class chemical substances second-order class,1
5060,human history,organisms known particular common homo sapiens homo sapiens sapiens homo,1
7246,mismatched vaccine,mismatched vaccine,1
5059,unusually severe deadly strain,unusually severe deadly strain,1
5057,short term adverse effects,short term adverse effects,1
6888,vaccine candidates,vaccine candidates,1
5056,2009 h1n1 pandemic,virus,1
8854,viral capsid proteins,cellular componentgroup class chemical substances second-order class,1
7241,vaccinated people,vaccinated people,1
8857,viral protein (vpg),viral protein (vpg),1
1686,antiviral medication,antiviral medication,1
6860,hpai strain,hpai strain,1
6887,seed viruses,seed viruses,1
8971,halogenlithium exchange reaction,halogenlithium exchange reaction,1
8858,viral protein,viral protein,1
8968,amine group,amine group,1
2292,antiviral agents,antiviral agents,1
8859,7methylguanosine cap,7methylguanosine cap,1
8860,cellular mrnas,cellular mrnas,1
8864,hydroxyl group,hydroxyl group,1
4552,rna polymerase,structural class chemical compoundsgroup class enzymes,1
9470,dtxsid2023561,dtxsid2023561,1
4566,large hdag,large hdag,1
8868,virus rna viruses,structural class chemical compounds,1
4554,rna polymerase ii,structural class chemical compoundsgroup class enzymes,1
8870,foot mouth disease,foot mouth disease,1
7231,current vaccine methods,current vaccine methods,1
4553,host cellular rna polymerases,structural class chemical compounds,1
9496,genetic studies,genetic studies,1
6882,intranasal influenza vaccine candidate,infectious disease,1
1664,animals,animals,1
7204,livestock vaccine,livestock vaccine,1
7203,human vaccine,organisms known particular common homo sapiens homo sapiens sapiens homo,1
4587,hbv surface proteins,group class chemical substances second-order class,1
5043,h1n1 infection,virus,1
7200,chicken eggs,chicken eggs,1
7199,winter flu season,influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,1
8923,common adverse effects,common adverse effects,1
8924,blood biomarkers,biogenic substance type,1
8926,low albumin,low albumin,1
8928,low count,low count,1
7180,largescale availability,largescale availability,1
7206,seasonal influenza vaccination,infectious disease,1
7196,fertilized chicken eggs,fertilized chicken eggs,1
2333,amantadineresistant influenza viruses,infectious disease,1
8931,reported adverse effects,reported adverse effects,1
8949,vitro data,vitro data,1
8932,gastrointestinal distress,gastrointestinal distress,1
2330,antiviral properties,antiviral properties,1
4597,large protein,large protein,1
2325,antiviral mechanism,antiviral mechanism,1
8938,possible effects,possible effects,1
8939,cytochrome p450,cytochrome p450,1
7189,24 months,24 months,1
5042,respiratory disease,respiratory disease,1
6875,h5n1 speed,subtype,1
4611,lethal tropical viral infection,lethal tropical viral infection,1
8911,rna.the u.s. food drug administration,rna.the u.s. food drug administration,1
6871,h5n1 vaccination effectiveness,subtype,1
6879,live attenuated influenza vaccine,infectious disease,1
1650,radiologically confirmed pneumonia,cause death infectious disease,1
2378,concurrent use,concurrent use,1
8890,rna act,structural class chemical compounds,1
4609,host cell,host cell,1
7173,severe allergy,severe allergy,1
1674,confirmed case,confirmed case,1
7217,circulating strains,circulating strains,1
8895,nonhereditary genetic change,nonhereditary genetic change,1
5035,red blood cells,biogenic substance type,1
7216,seasonal variability,seasonal variability,1
7215,disease burden,disease burden,1
2369,mild sideeffect profile,mild sideeffect profile,1
2368,adverse effects,adverse effects,1
8900,emergency use,emergency use,1
2362,endstage renal disease,endstage renal disease,1
1653,transmission,transmission,1
7209,published studies,published studies,1
7175,viral forms,viral forms,1
5047,h1n1 infection immune,virus,1
7176,live weakened vaccine,live weakened vaccine,1
4581,cellular enzymes,cellular enzymes,1
4614,amazon river,amazon river,1
5036,infected cell,infected cell,1
4613,brazilian amazon basin,brazilian amazon basin,1
8909,infusionrelated reaction,infusionrelated reaction,1
8910,low blood pressure,biogenic substance type,1
6869,poultry farming protection funds,organisms known particular common,1
8887,cell exchange genetic material,cell exchange genetic material,1
4930,h5n1 virus genetic offspring,subtype,1
7260,clinical evidence,clinical evidence,1
7250,certain influenza subtypes,infectious disease,1
8766,rna dependent rna polymerase,structural class chemical compoundsstructural class chemical compoundsgroup class enzymes,1
9579,pediatric use,pediatric use,1
8768,picornavirus family,taxon,1
1556,2009 outbreak,2009 outbreak,1
4480,medicinal products,medicinal products,1
4481,human use,organisms known particular common homo sapiens homo sapiens sapiens homo,1
4482,antiviral hepcludex,antiviral hepcludex,1
7290,35 months,35 months,1
2520,case reports,case reports,1
4487,low income regions,low income regions,1
4489,hbv infection,hbv infection,1
4490,currently amazon basin,currently amazon basin,1
5111,h1n1 cases,virus,1
5110,2017–18 pakistan outbreak,sovereign state country,1
1552,drug,drug,1
7287,36 months,36 months,1
6824,host immune responses,host immune responses,1
4493,severe liver disease,organ type,1
5105,30 confirmed cases,30 confirmed cases,1
5102,2017 myanmar outbreak,sovereign state country,1
7284,dose volume,dose volume,1
2505,nontraumatic cases,nontraumatic cases,1
9564,positive opinion,positive opinion,1
1575,significant immunity,significant immunity,1
1576,recent genetic analysis,recent genetic analysis,1
8789,3 little triangles,3 little triangles,1
7280,2017–18 flu season,influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,1
1578,genetic segments,genetic segments,1
2501,randomized control trials,randomized control trials,1
2499,functional objective use,functional objective use,1
9574,splitvirus vaccine,splitvirus vaccine,1
8793,group iv viruses,group iv viruses,1
8761,uncapped mrna,transcript,1
4473,pegylated interferon alpha,group class proteins,1
1527,severe cases,severe cases,1
2573,benefits,benefits,1
5124,2019 iran outbreak,2019 iran outbreak,1
5123,11 deaths,11 deaths,1
9594,b strain,b strain,1
1538,experimental antiviral drug,experimental antiviral drug,1
2566,teratogenic effects,teratogenic effects,1
4458,drug users,drug users,1
2564,food drug administration category c,food drug administration category c,1
9590,standarddose vaccine,standarddose vaccine,1
9589,standard vaccine,standard vaccine,1
4461,intravenous drug use,intravenous drug use,1
2559,rare cases,rare cases,1
8743,insensitivity,insensitivity,1
2538,dizziness,dizziness,1
2555,gastrointestinal,gastrointestinal,1
5120,2019 morocco outbreak,2019 morocco outbreak,1
5119,30 cases,30 cases,1
1545,indiscriminate use,indiscriminate use,1
1546,antiviral medications,antiviral medications,1
1547,drugresistant strains,drugresistant strains,1
4467,specific vaccine,specific vaccine,1
5115,2019 malta outbreak,religious minority major religious group,1
8751,small rna viruses,structural class chemical compounds,1
4470,current established treatments,current established treatments,1
8753,genus aphthovirus,taxon,1
8754,picornaviridae family,taxon,1
4471,interferon alpha therapy,group class proteins,1
2542,rare severe adverse effects,rare severe adverse effects,1
8757,infection virus,infection virus,1
9588,greater immune response,greater immune response,1
7278,weakened immune systems,weakened immune systems,1
8795,rna genomes,structural class chemical compounds,1
6832,$1 billion drug manufacturers,$1 billion drug manufacturers,1
8821,5 end mayalsohave,5 end mayalsohave,1
1614,mechanical ventilation,mechanical ventilation,1
2465,levodopa effects,levodopa effects,1
8822,rna elements,structural class chemical compounds,1
2463,extrapyramidal effects,extrapyramidal effects,1
6848,genetic sequence,genetic sequence,1
8824,multiple rna elements,structural class chemical compounds,1
7262,placebocontrolled randomized clinical trials,placebocontrolled randomized clinical trials,1
1616,obesity respiratory disease,scientific journal hybrid open access journal academic journal allegedly,1
9526,rnacontaining viruses,rnacontaining viruses,1
1618,primary influenza pneumonia,infectious diseasecause death infectious disease,1
5071,similar strain,similar strain,1
4633,amazon,amazon,1
8831,rna replication,structural class chemical compounds,1
7264,medical institutions,medical institutions,1
2450,seasonal h3n2,subtype,1
1621,methicillinresistant strains,methicillinresistant strains,1
8833,rna synthesis,structural class chemical compounds,1
6852,classic symptoms,classic symptoms,1
5065,new jersey,new jersey,1
4527,viral envelope,viral envelope,1
7255,yearly vaccine,yearly vaccine,1
8840,rna structures,structural class chemical compounds,1
4534,hdag,hdag,1
9517,electrophysiology studies,electrophysiology studies,1
9516,antiviral assay,antiviral assay,1
6853,distributed computing,distributed computing,1
1633,confirmed infection,confirmed infection,1
6857,domesticated poultry,organisms known particular common,1
4536,animal viruses,taxon,1
5070,strain influenza a/ussr/90/77,infectious disease,1
5074,viral rna,structural class chemical compounds,1
8818,5 utr isimportantin,5 utr isimportantin,1
9530,respiratory synctial parainfluenza viruses,respiratory synctial parainfluenza viruses,1
2494,minimally conscious state,minimally conscious state,1
1584,mild cases,mild cases,1
1585,deadly waves,deadly waves,1
2493,vegetative state,vegetative state,1
8797,rna rna,structural class chemical compoundsstructural class chemical compounds,1
5094,501 people,501 people,1
8798,rna rna isunusualbecausernahasaproteinonthe5endthatisusedasaprimerfortranscriptionbyrnapolymerase.aprimerfortranscriptionby rna,structural class chemical compoundsstructural class chemical compoundsstructural class chemical compounds,1
6836,federal government goal,federal government goal,1
7276,59 months,59 months,1
7271,vaccine promotion,vaccine promotion,1
4510,36 strains,36 strains,1
5092,2017 maldives outbreak,2017 maldives outbreak,1
8808,5 cap,5 cap,1
9551,vaccines subunit,vaccines subunit,1
8809,virally encoded protein,virally encoded protein,1
6838,specialized chicken eggs,specialized chicken eggs,1
5089,31 974 cases,31 974 cases,1
1608,respiratory failure,respiratory failure,1
6844,genetic mechanisms,genetic mechanisms,1
8816,3 utr,3 utr,1
5079,genetic elements,genetic elements,1
6841,current vaccine research,current vaccine research,1
1603,seasonal influenza,infectious disease,1
2435,protein synthesis,protein synthesis,1
1602,disease pattern,disease pattern,1
2474,multiple control trials,multiple control trials,1
1601,clinical picture,clinical picture,1
5082,2012 india outbreak,dominion british empire sovereign state historical country,1
8810,mrna,transcript,1
5084,20 deaths,20 deaths,1
5087,2015 india outbreak,dominion british empire sovereign state historical country,1
8814,5 utr isusuallylongerbeingaround,5 utr isusuallylongerbeingaround,1
2280,antiviral drug,antiviral drug,1
2264,particular reaction,particular reaction,1
2276,medical applications,medical applications,1
4828,demographic characteristics,demographic characteristics,1
1989,h5n1 outbreak,subtype,1
1990,human transmission,organisms known particular common homo sapiens homo sapiens sapiens homo,1
4826,remaining strains,remaining strains,1
1993,early outbreak,early outbreak,1
4824,asymptomatic cases,asymptomatic cases,1
4830,h5n1 attacks,subtype,1
6943,novartis vaccine,business multinational corporation,1
7032,respiratory infections,respiratory infections,1
4955,h5n1 genes,subtype,1
4822,poultry handlers,organisms known particular common,1
6939,2 clinical trials,2 clinical trials,1
1998,highly pathogenic h5n8 virus,highly pathogenic h5n8 virus,1
4821,h5n1 infection,subtype,1
9386,drug functions,drug functions,1
1983,ongoing outbreak,ongoing outbreak,1
9381,dna viruses,dna viruses,1
1979,seasonal strain,seasonal strain,1
1952,clinical specimens,clinical specimens,1
9241,sufficient efficacy,sufficient efficacy,1
1954,second case,second case,1
1956,clinical examination,clinical examination,1
4846,h2n2 strain,wikimedia disambiguation page,1
4950,human adaptation,organisms known particular common homo sapiens homo sapiens sapiens homo,1
7018,fibrates,scholarly article review article,1
1964,infectious diseases society,infectious diseases society,1
9230,mohme,mohme,1
1970,american medical association,american medical association,1
4839,h5n1 influenza attacks,subtypeinfectious disease,1
1972,2009 h1n1 infection,virus,1
1974,seasonal strains,seasonal strains,1
4837,h5n1 attack,subtype,1
9223,new contract,new contract,1
7033,seasonal variation,seasonal variation,1
4848,n1 group,n1 group,1
2003,summer months,summer months,1
7038,13 studies,13 studies,1
2045,norway case,emoji regional indicator sequence,1
2046,highly pathogenic h5n8 strain,highly pathogenic h5n8 strain,1
9174,confirmed covid‑19,confirmed covid‑19,1
4795,h5n1 cases humans,subtypeinfectious disease france,1
2051,outdoor poultry,organisms known particular common,1
4967,human lives,organisms known particular common homo sapiens homo sapiens sapiens homo,1
2043,wild swans,wild swans,1
2052,pathogenic h5n8 avian influenza,infectious disease,1
2057,h5n8 avian influenza,infectious disease,1
2058,indian state,indian state,1
2059,kerala,state india start time 1 november 1956,1
4791,h5 surface proteins,group class chemical substances second-order class,1
6931,novartis s optaflu vaccine,business multinational corporation,1
9168,severe covid‑19 symptoms,severe covid‑19 symptoms,1
4794,premutated viruses,premutated viruses,1
7047,high lactoferrin whey protein,high lactoferrin whey protein,1
2034,highly pathogenic h5n8 strain ofbirdfluinsamplesfromwildbirdsinthecentralwestofsouthkorea sandissuedthehighlypathogenich5n8strainofbirdfluinsamplesfromwildbirdsinthecentralwestofthecountry bird flu,taxoninfluenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,1
2030,highly pathogenic h5n8 type flu,influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,1
9198,severe covid‑19,severe covid‑19,1
4959,human contagion,organisms known particular common homo sapiens homo sapiens sapiens homo,1
4813,mild asymptomatic cases,mild asymptomatic cases,1
7041,rigorous clinical trials,rigorous clinical trials,1
4961,lethal humanadapted influenza,infectious disease,1
2018,official confirmed report,official confirmed report,1
9193,noninvasive ventilation,noninvasive ventilation,1
9191,compassionate use recommendations,compassionate use recommendations,1
9190,invasive mechanical ventilation,invasive mechanical ventilation,1
7044,vitro studies,vitro studies,1
6936,individual viral proteins,group class chemical substances second-order class,1
6935,subunit vaccine,subunit vaccine,1
6933,clinical studies,clinical studies,1
